Node Number	x	y	z	Deformation
56000	0.333	55.335	4.08E-16	-3.94E-05
56001	0.333	57.696	4.08E-16	-4.05E-05
56002	0.333	60.01	4.08E-16	-4.16E-05
56003	0.333	62.277	4.08E-16	-4.27E-05
56004	0.333	64.499	4.08E-16	-4.36E-05
56005	0.333	66.676	4.08E-16	-4.45E-05
56006	0.333	68.808	4.08E-16	-4.53E-05
56007	0.333	70.898	4.08E-16	-4.60E-05
56008	0.333	72.946	4.08E-16	-4.65E-05
56009	0.333	74.953	4.08E-16	-4.70E-05
56010	0.333	76.919	4.08E-16	-4.73E-05
56011	0.333	78.845	4.08E-16	-4.75E-05
56012	0.333	80.733	4.08E-16	-4.76E-05
56013	0.333	82.583	4.08E-16	-4.75E-05
56014	0.333	84.395	4.08E-16	-4.73E-05
56015	0.333	86.171	4.08E-16	-4.70E-05
56016	0.333	87.911	4.08E-16	-4.65E-05
56017	0.333	89.616	4.08E-16	-4.59E-05
56018	0.333	91.287	4.08E-16	-4.51E-05
56019	0.333	92.924	4.08E-16	-4.41E-05
56020	0.333	94.528	4.08E-16	-4.29E-05
56021	0.333	96.1	4.08E-16	-4.16E-05
56022	0.333	97.64	4.08E-16	-4.01E-05
56023	0.333	99.149	4.08E-16	-3.84E-05
56024	0.333	100.627	4.08E-16	-3.66E-05
56025	0.333	102.076	4.08E-16	-3.46E-05
56026	0.333	103.496	4.08E-16	-3.25E-05
56027	0.333	104.887	4.08E-16	-3.01E-05
56028	0.333	106.25	4.08E-16	-2.77E-05
56029	0.333	107.586	4.08E-16	-2.52E-05
56030	0.333	108.894	4.08E-16	-2.25E-05
56031	0.333	110.177	4.08E-16	-1.97E-05
56032	0.333	111.433	4.08E-16	-1.68E-05
56033	0.333	112.664	4.08E-16	-1.38E-05
56034	0.333	113.871	4.08E-16	-1.08E-05
56035	0.333	115.053	4.08E-16	-7.61E-06
56036	0.333	116.211	4.08E-16	-4.51E-06
56037	0.333	117.346	4.08E-16	-1.41E-06
56038	0.333	118.458	4.08E-16	1.72E-06
56039	0.333	119.547	4.08E-16	4.74E-06
56040	0.333	120.615	4.08E-16	7.68E-06
56041	0.333	121.661	4.08E-16	1.06E-05
56042	0.333	122.686	4.08E-16	1.33E-05
56043	0.333	123.691	4.08E-16	1.58E-05
56044	0.333	124.675	4.08E-16	1.81E-05
56045	0.333	125.639	4.08E-16	2.03E-05
56046	0.333	126.584	4.08E-16	2.21E-05
56047	0.333	127.51	4.08E-16	2.35E-05
56048	0.333	128.417	4.08E-16	2.47E-05
56049	0.333	129.306	4.08E-16	2.54E-05
56050	0.333	130.177	4.08E-16	2.58E-05
56051	0.333	131.031	4.08E-16	2.56E-05
56052	0.333	131.867	4.08E-16	2.50E-05
56053	0.333	132.687	4.08E-16	2.39E-05
56054	0.333	133.49	4.08E-16	2.22E-05
56055	0.333	134.277	4.08E-16	1.98E-05
56056	0.333	135.047	4.08E-16	1.68E-05
56057	0.333	135.803	4.08E-16	1.32E-05
56058	0.333	136.543	4.08E-16	8.81E-06
56059	0.333	137.268	4.08E-16	3.67E-06
56060	0.333	137.979	4.08E-16	-2.35E-06
56061	0.333	138.675	4.08E-16	-9.24E-06
56062	0.333	139.358	4.08E-16	-1.70E-05
56063	0.333	140.026	4.08E-16	-2.57E-05
56064	0.333	140.681	4.08E-16	-3.56E-05
56065	0.333	141.323	4.08E-16	-4.65E-05
56066	0.333	141.952	4.08E-16	-5.87E-05
56067	0.333	142.568	4.08E-16	-7.22E-05
56068	0.333	143.172	4.08E-16	-8.70E-05
56069	0.333	143.764	4.08E-16	-1.03E-04
56070	0.333	144.344	4.08E-16	-1.21E-04
56071	0.333	144.912	4.08E-16	-1.41E-04
56072	0.333	145.469	4.08E-16	-1.63E-04
56073	0.333	146.014	4.08E-16	-1.87E-04
56074	0.333	146.548	4.08E-16	-2.14E-04
56075	0.333	147.072	4.08E-16	-2.44E-04
56076	0.333	147.585	4.08E-16	-2.77E-04
56077	0.333	148.088	4.08E-16	-3.14E-04
56078	0.333	148.581	4.08E-16	-3.57E-04
56079	0.333	149.064	4.08E-16	-4.07E-04
56080	0.333	149.537	4.08E-16	-4.67E-04
56081	0.333	150	4.08E-16	-5.46E-04
56082	0.166	150	4.00E-16	-5.39E-04
56083	0.5	150	0	-5.57E-04
56084	0.5	149.537	4.16E-16	-4.83E-04
56085	0.5	149.064	4.16E-16	-4.24E-04
56086	0.5	148.581	4.16E-16	-3.75E-04
56087	0.5	148.088	4.16E-16	-3.33E-04
56088	0.5	147.585	4.16E-16	-2.96E-04
56089	0.5	147.072	4.16E-16	-2.63E-04
56090	0.5	146.548	4.16E-16	-2.33E-04
56091	0.5	146.014	4.16E-16	-2.06E-04
56092	0.5	145.469	4.16E-16	-1.82E-04
56093	0.5	144.912	4.16E-16	-1.61E-04
56094	0.5	144.344	4.16E-16	-1.41E-04
56095	0.5	143.764	4.16E-16	-1.23E-04
56096	0.5	143.172	4.16E-16	-1.06E-04
56097	0.5	142.568	4.16E-16	-9.16E-05
56098	0.5	141.952	4.16E-16	-7.81E-05
56099	0.5	141.323	4.16E-16	-6.60E-05
56100	0.5	140.681	4.16E-16	-5.50E-05
56101	0.5	140.026	4.16E-16	-4.52E-05
56102	0.5	139.358	4.16E-16	-3.65E-05
56103	0.5	138.675	4.16E-16	-2.88E-05
56104	0.5	137.979	4.16E-16	-2.19E-05
56105	0.5	137.268	4.16E-16	-1.59E-05
56106	0.5	136.543	4.16E-16	-1.08E-05
56107	0.5	135.803	4.16E-16	-6.49E-06
56108	0.5	135.047	4.16E-16	-2.88E-06
56109	0.5	134.277	4.16E-16	8.76E-08
