Node Number	x	y	z	Deformation
56821	-0.333	78.845	3.76E-16	-3.54E-05
56822	-0.166	78.845	3.84E-16	-2.72E-05
56823	-0.333	76.919	3.76E-16	-3.52E-05
56824	-0.166	76.919	3.84E-16	-2.70E-05
56825	-0.333	74.953	3.76E-16	-3.48E-05
56826	-0.166	74.953	3.84E-16	-2.66E-05
56827	-0.333	72.946	3.76E-16	-3.43E-05
56828	-0.166	72.946	3.84E-16	-2.61E-05
56829	-0.333	70.898	3.76E-16	-3.38E-05
56830	-0.166	70.898	3.84E-16	-2.55E-05
56831	-0.333	68.808	3.76E-16	-3.31E-05
56832	-0.166	68.808	3.84E-16	-2.48E-05
56833	-0.333	66.676	3.76E-16	-3.22E-05
56834	-0.166	66.676	3.84E-16	-2.39E-05
56835	-0.333	64.499	3.76E-16	-3.13E-05
56836	-0.166	64.499	3.84E-16	-2.31E-05
56837	-0.333	62.277	3.76E-16	-3.04E-05
56838	-0.166	62.277	3.84E-16	-2.21E-05
56839	-0.333	60.01	3.76E-16	-2.93E-05
56840	-0.166	60.01	3.84E-16	-2.10E-05
56841	-0.333	57.696	3.76E-16	-2.82E-05
56842	-0.166	57.696	3.84E-16	-1.99E-05
56843	-0.333	55.335	3.76E-16	-2.71E-05
56844	-0.166	55.335	3.84E-16	-1.88E-05
56845	-0.333	52.925	3.76E-16	-2.58E-05
56846	-0.166	52.925	3.84E-16	-1.75E-05
56847	-0.333	50.466	3.76E-16	-2.47E-05
56848	-0.166	50.466	3.84E-16	-1.63E-05
56849	-0.333	47.956	3.76E-16	-2.34E-05
56850	-0.166	47.956	3.84E-16	-1.51E-05
56851	-0.333	45.394	3.76E-16	-2.22E-05
56852	-0.166	45.394	3.84E-16	-1.38E-05
56853	-0.333	42.78	3.76E-16	-2.09E-05
56854	-0.166	42.78	3.84E-16	-1.26E-05
56855	-0.333	40.112	3.76E-16	-1.97E-05
56856	-0.166	40.112	3.84E-16	-1.14E-05
56857	-0.333	37.389	3.76E-16	-1.84E-05
56858	-0.166	37.389	3.84E-16	-1.01E-05
56859	-0.333	34.61	3.76E-16	-1.72E-05
56860	-0.166	34.61	3.84E-16	-8.80E-06
56861	-0.333	31.774	3.76E-16	-1.60E-05
56862	-0.166	31.774	3.84E-16	-7.59E-06
56863	-0.333	28.879	3.76E-16	-1.49E-05
56864	-0.166	28.879	3.84E-16	-6.50E-06
56865	-0.333	25.926	3.76E-16	-1.39E-05
56866	-0.166	25.926	3.84E-16	-5.47E-06
56867	-0.333	22.911	3.76E-16	-1.29E-05
56868	-0.166	22.911	3.84E-16	-4.46E-06
56869	-0.333	19.834	3.76E-16	-1.19E-05
56870	-0.166	19.834	3.84E-16	-3.53E-06
56871	-0.333	16.695	3.76E-16	-1.11E-05
56872	-0.166	16.695	3.84E-16	-2.71E-06
56873	-0.333	13.49	3.76E-16	-1.04E-05
56874	-0.166	13.49	3.84E-16	-2.02E-06
56875	-0.333	10.22	3.76E-16	-9.89E-06
56876	-0.166	10.22	3.84E-16	-1.47E-06
56877	-0.333	6.882	3.76E-16	-9.49E-06
56878	-0.166	6.882	3.84E-16	-1.07E-06
56879	-0.333	3.476	3.76E-16	-9.25E-06
56880	-0.166	3.476	3.84E-16	-8.24E-07
56881	-0.166	150	3.84E-16	-5.35E-04
56882	-0.333	150	3.76E-16	-5.39E-04
56883	-0.5	150	0	-5.46E-04
56884	-0.5	149.537	3.67E-16	-4.72E-04
56885	-0.5	149.064	3.67E-16	-4.13E-04
56886	-0.5	148.581	3.67E-16	-3.63E-04
56887	-0.5	148.088	3.67E-16	-3.21E-04
56888	-0.5	147.585	3.67E-16	-2.84E-04
56889	-0.5	147.072	3.67E-16	-2.51E-04
56890	-0.5	146.548	3.67E-16	-2.21E-04
56891	-0.5	146.014	3.67E-16	-1.94E-04
56892	-0.5	145.469	3.67E-16	-1.70E-04
56893	-0.5	144.912	3.67E-16	-1.48E-04
56894	-0.5	144.344	3.67E-16	-1.28E-04
56895	-0.5	143.764	3.67E-16	-1.10E-04
56896	-0.5	143.172	3.67E-16	-9.39E-05
56897	-0.5	142.568	3.67E-16	-7.91E-05
56898	-0.5	141.952	3.67E-16	-6.57E-05
56899	-0.5	141.323	3.67E-16	-5.35E-05
56900	-0.5	140.681	3.67E-16	-4.25E-05
56901	-0.5	140.026	3.67E-16	-3.27E-05
56902	-0.5	139.358	3.67E-16	-2.40E-05
56903	-0.5	138.675	3.67E-16	-1.62E-05
56904	-0.5	137.979	3.67E-16	-9.38E-06
56905	-0.5	137.268	3.67E-16	-3.37E-06
56906	-0.5	136.543	3.67E-16	1.77E-06
56907	-0.5	135.803	3.67E-16	6.13E-06
56908	-0.5	135.047	3.67E-16	9.79E-06
56909	-0.5	134.277	3.67E-16	1.28E-05
56910	-0.5	133.49	3.67E-16	1.52E-05
56911	-0.5	132.687	3.67E-16	1.69E-05
56912	-0.5	131.867	3.67E-16	1.81E-05
56913	-0.5	131.031	3.67E-16	1.88E-05
56914	-0.5	130.177	3.67E-16	1.90E-05
56915	-0.5	129.306	3.67E-16	1.88E-05
56916	-0.5	128.417	3.67E-16	1.81E-05
56917	-0.5	127.51	3.67E-16	1.71E-05
56918	-0.5	126.584	3.67E-16	1.57E-05
56919	-0.5	125.639	3.67E-16	1.40E-05
56920	-0.5	124.675	3.67E-16	1.20E-05
56921	-0.5	123.691	3.67E-16	9.81E-06
56922	-0.5	122.686	3.67E-16	7.42E-06
56923	-0.5	121.661	3.67E-16	4.80E-06
56924	-0.5	120.615	3.67E-16	2.04E-06
56925	-0.5	119.547	3.67E-16	-7.79E-07
56926	-0.5	118.458	3.67E-16	-3.68E-06
56927	-0.5	117.346	3.67E-16	-6.68E-06
56928	-0.5	116.211	3.67E-16	-9.66E-06
56929	-0.5	115.053	3.67E-16	-1.27E-05
56930	-0.5	113.871	3.67E-16	-1.57E-05
56931	-0.5	112.664	3.67E-16	-1.86E-05
56932	-0.5	111.433	3.67E-16	-2.15E-05
56933	-0.5	110.177	3.67E-16	-2.43E-05
56934	-0.5	108.894	3.67E-16	-2.70E-05
56935	-0.5	107.586	3.67E-16	-2.96E-05
56936	-0.5	106.25	3.67E-16	-3.21E-05
56937	-0.5	104.887	3.67E-16	-3.44E-05
56938	-0.5	103.496	3.67E-16	-3.67E-05
56939	-0.5	102.076	3.67E-16	-3.87E-05
56940	-0.5	100.627	3.67E-16	-4.06E-05
56941	-0.5	99.149	3.67E-16	-4.24E-05
56942	-0.5	97.64	3.67E-16	-4.40E-05
56943	-0.5	96.1	3.67E-16	-4.55E-05
56944	-0.5	94.528	3.67E-16	-4.68E-05
56945	-0.5	92.924	3.67E-16	-4.79E-05
56946	-0.5	91.287	3.67E-16	-4.88E-05
56947	-0.5	89.616	3.67E-16	-4.96E-05
56948	-0.5	87.911	3.67E-16	-5.02E-05
56949	-0.5	86.171	3.67E-16	-5.07E-05
56950	-0.5	84.395	3.67E-16	-5.10E-05
56951	-0.5	82.583	3.67E-16	-5.12E-05
56952	-0.5	80.733	3.67E-16	-5.12E-05
56953	-0.5	78.845	3.67E-16	-5.11E-05
56954	-0.5	76.919	3.67E-16	-5.09E-05
56955	-0.5	74.953	3.67E-16	-5.06E-05
56956	-0.5	72.946	3.67E-16	-5.01E-05
56957	-0.5	70.898	3.67E-16	-4.96E-05
56958	-0.5	68.808	3.67E-16	-4.89E-05
56959	-0.5	66.676	3.67E-16	-4.81E-05
56960	-0.5	64.499	3.67E-16	-4.72E-05
56961	-0.5	62.277	3.67E-16	-4.63E-05
56962	-0.5	60.01	3.67E-16	-4.52E-05
56963	-0.5	57.696	3.67E-16	-4.41E-05
56964	-0.5	55.335	3.67E-16	-4.30E-05
56965	-0.5	52.925	3.67E-16	-4.18E-05
56966	-0.5	50.466	3.67E-16	-4.07E-05
56967	-0.5	47.956	3.67E-16	-3.95E-05
56968	-0.5	45.394	3.67E-16	-3.82E-05
56969	-0.5	42.78	3.67E-16	-3.70E-05
56970	-0.5	40.112	3.67E-16	-3.58E-05
56971	-0.5	37.389	3.67E-16	-3.45E-05
56972	-0.5	34.61	3.67E-16	-3.33E-05
56973	-0.5	31.774	3.67E-16	-3.21E-05
56974	-0.5	28.879	3.67E-16	-3.11E-05
56975	-0.5	25.926	3.67E-16	-3.00E-05
56976	-0.5	22.911	3.67E-16	-2.91E-05
56977	-0.5	19.834	3.67E-16	-2.81E-05
56978	-0.5	16.695	3.67E-16	-2.73E-05
56979	-0.5	13.49	3.67E-16	-2.67E-05
56980	-0.5	10.22	3.67E-16	-2.61E-05
56981	-0.5	6.882	3.67E-16	-2.57E-05
56982	-0.5	3.476	3.67E-16	-2.55E-05
242392	-0.416	0	3.71E-16	-1.64E-05
242393	-0.5	1.738	3.67E-16	-2.54E-05
242394	-0.25	0	3.80E-16	-4.02E-06
242395	-0.333	1.738	3.76E-16	-9.20E-06
242396	-0.083	0	3.88E-16	5.93E-07
242397	-0.166	1.738	3.84E-16	-7.65E-07
242405	0.083	0	3.96E-16	-2.55E-06
242406	0	1.738	3.92E-16	-1.66E-08
242407	0.25	0	4.04E-16	-1.35E-05
242408	0.166	1.738	4.00E-16	-7.06E-06
242409	0.416	0	4.12E-16	-3.22E-05
242410	0.333	1.738	4.08E-16	-2.18E-05
242411	0.5	1.738	4.16E-16	-4.43E-05
242412	0.166	5.179	4.00E-16	-7.22E-06
242413	0.25	3.476	4.04E-16	-1.35E-05
242414	0.083	3.476	3.96E-16	-2.63E-06
242415	0.166	8.551	4.00E-16	-7.54E-06
242416	0.25	6.882	4.04E-16	-1.38E-05
242417	0.083	6.882	3.96E-16	-2.87E-06
242418	0.166	11.855	4.00E-16	-8.02E-06
242419	0.25	10.22	4.04E-16	-1.42E-05
242420	0.083	10.22	3.96E-16	-3.27E-06
242421	0.166	15.092	4.00E-16	-8.64E-06
242422	0.25	13.49	4.04E-16	-1.47E-05
242423	0.083	13.49	3.96E-16	-3.82E-06
242424	0.166	18.264	4.00E-16	-9.39E-06
242425	0.25	16.695	4.04E-16	-1.54E-05
242426	0.083	16.695	3.96E-16	-4.52E-06
242427	0.166	21.373	4.00E-16	-1.03E-05
242428	0.25	19.834	4.04E-16	-1.62E-05
242429	0.083	19.834	3.96E-16	-5.33E-06
242430	0.166	24.418	4.00E-16	-1.12E-05
242431	0.25	22.911	4.04E-16	-1.72E-05
242432	0.083	22.911	3.96E-16	-6.26E-06
242433	0.166	27.402	4.00E-16	-1.23E-05
242434	0.25	25.926	4.04E-16	-1.81E-05
242435	0.083	25.926	3.96E-16	-7.27E-06
242436	0.166	30.327	4.00E-16	-1.33E-05
242437	0.25	28.879	4.04E-16	-1.92E-05
242438	0.083	28.879	3.96E-16	-8.30E-06
242439	0.166	33.192	4.00E-16	-1.44E-05
242440	0.25	31.774	4.04E-16	-2.02E-05
242441	0.083	31.774	3.96E-16	-9.39E-06
242442	0.166	35.999	4.00E-16	-1.57E-05
242443	0.25	34.61	4.04E-16	-2.14E-05
242444	0.083	34.61	3.96E-16	-1.06E-05
242445	0.166	38.75	4.00E-16	-1.70E-05
242446	0.25	37.389	4.04E-16	-2.27E-05
242447	0.083	37.389	3.96E-16	-1.19E-05
242448	0.166	41.446	4.00E-16	-1.82E-05
242449	0.25	40.112	4.04E-16	-2.40E-05
242450	0.083	40.112	3.96E-16	-1.31E-05
242451	0.166	44.087	4.00E-16	-1.94E-05
242452	0.25	42.78	4.04E-16	-2.52E-05
242453	0.083	42.78	3.96E-16	-1.44E-05
242454	0.166	46.675	4.00E-16	-2.07E-05
242455	0.25	45.394	4.04E-16	-2.64E-05
242456	0.083	45.394	3.96E-16	-1.56E-05
242457	0.166	49.211	4.00E-16	-2.20E-05
242458	0.25	47.956	4.04E-16	-2.77E-05
242459	0.083	47.956	3.96E-16	-1.69E-05
242460	0.166	51.695	4.00E-16	-2.31E-05
242461	0.25	50.466	4.04E-16	-2.89E-05
242462	0.083	50.466	3.96E-16	-1.81E-05
242463	0.166	54.13	4.00E-16	-2.43E-05
242464	0.25	52.925	4.04E-16	-3.01E-05
242465	0.083	52.925	3.96E-16	-1.93E-05
242466	0.166	56.516	4.00E-16	-2.55E-05
242467	0.25	55.335	4.04E-16	-3.13E-05
242468	0.083	55.335	3.96E-16	-2.05E-05
242469	0.166	58.853	4.00E-16	-2.66E-05
242470	0.25	57.696	4.04E-16	-3.24E-05
242471	0.083	57.696	3.96E-16	-2.17E-05
242472	0.166	61.144	4.00E-16	-2.77E-05
242473	0.25	60.01	4.04E-16	-3.35E-05
242474	0.083	60.01	3.96E-16	-2.27E-05
242475	0.166	63.388	4.00E-16	-2.87E-05
242476	0.25	62.277	4.04E-16	-3.45E-05
242477	0.083	62.277	3.96E-16	-2.38E-05
242478	0.166	65.587	4.00E-16	-2.96E-05
242479	0.25	64.499	4.04E-16	-3.55E-05
242480	0.083	64.499	3.96E-16	-2.48E-05
242481	0.166	67.742	4.00E-16	-3.05E-05
242482	0.25	66.676	4.04E-16	-3.64E-05
242483	0.083	66.676	3.96E-16	-2.57E-05
242484	0.166	69.853	4.00E-16	-3.13E-05
242485	0.25	68.808	4.04E-16	-3.72E-05
242486	0.083	68.808	3.96E-16	-2.66E-05
242487	0.166	71.922	4.00E-16	-3.19E-05
242488	0.25	70.898	4.04E-16	-3.79E-05
242489	0.083	70.898	3.96E-16	-2.73E-05
242490	0.166	73.949	4.00E-16	-3.25E-05
242491	0.25	72.946	4.04E-16	-3.85E-05
242492	0.083	72.946	3.96E-16	-2.79E-05
242493	0.166	75.936	4.00E-16	-3.28E-05
242494	0.25	74.953	4.04E-16	-3.89E-05
242495	0.083	74.953	3.96E-16	-2.83E-05
242496	0.166	77.882	4.00E-16	-3.32E-05
242497	0.25	76.919	4.04E-16	-3.93E-05
242498	0.083	76.919	3.96E-16	-2.87E-05
242499	0.166	79.789	4.00E-16	-3.33E-05
242500	0.25	78.845	4.04E-16	-3.95E-05
242501	0.083	78.845	3.96E-16	-2.89E-05
242502	0.166	81.658	4.00E-16	-3.34E-05
242503	0.25	80.733	4.04E-16	-3.96E-05
242504	0.083	80.733	3.96E-16	-2.90E-05
242505	0.166	83.489	4.00E-16	-3.32E-05
242506	0.25	82.583	4.04E-16	-3.95E-05
242507	0.083	82.583	3.96E-16	-2.90E-05
242508	0.166	85.283	4.00E-16	-3.30E-05
242509	0.25	84.395	4.04E-16	-3.93E-05
242510	0.083	84.395	3.96E-16	-2.89E-05
242511	0.166	87.041	4.00E-16	-3.26E-05
242512	0.25	86.171	4.04E-16	-3.90E-05
242513	0.083	86.171	3.96E-16	-2.86E-05
242514	0.166	88.764	4.00E-16	-3.21E-05
242515	0.25	87.911	4.04E-16	-3.85E-05
242516	0.083	87.911	3.96E-16	-2.81E-05
242517	0.166	90.451	4.00E-16	-3.14E-05
242518	0.25	89.616	4.04E-16	-3.79E-05
242519	0.083	89.616	3.96E-16	-2.75E-05
242520	0.166	92.105	4.00E-16	-3.06E-05
242521	0.25	91.287	4.04E-16	-3.71E-05
242522	0.083	91.287	3.96E-16	-2.67E-05
242523	0.166	93.726	4.00E-16	-2.95E-05
242524	0.25	92.924	4.04E-16	-3.62E-05
242525	0.083	92.924	3.96E-16	-2.58E-05
242526	0.166	95.314	4.00E-16	-2.84E-05
242527	0.25	94.528	4.04E-16	-3.51E-05
242528	0.083	94.528	3.96E-16	-2.47E-05
242529	0.166	96.87	4.00E-16	-2.69E-05
242530	0.25	96.1	4.04E-16	-3.38E-05
242531	0.083	96.1	3.96E-16	-2.34E-05
242532	0.166	98.394	4.00E-16	-2.53E-05
242533	0.25	97.64	4.04E-16	-3.22E-05
242534	0.083	97.64	3.96E-16	-2.19E-05
242535	0.166	99.888	4.00E-16	-2.37E-05
242536	0.25	99.149	4.04E-16	-3.06E-05
242537	0.083	99.149	3.96E-16	-2.03E-05
242538	0.166	101.352	4.00E-16	-2.18E-05
242539	0.25	100.627	4.04E-16	-2.88E-05
242540	0.083	100.627	3.96E-16	-1.85E-05
242541	0.166	102.786	4.00E-16	-1.98E-05
242542	0.25	102.076	4.04E-16	-2.68E-05
242543	0.083	102.076	3.96E-16	-1.66E-05
242544	0.166	104.191	4.00E-16	-1.76E-05
242545	0.25	103.496	4.04E-16	-2.47E-05
242546	0.083	103.496	3.96E-16	-1.45E-05
242547	0.166	105.569	4.00E-16	-1.52E-05
242548	0.25	104.887	4.04E-16	-2.24E-05
242549	0.083	104.887	3.96E-16	-1.22E-05
242550	0.166	106.918	4.00E-16	-1.28E-05
242551	0.25	106.25	4.04E-16	-2.00E-05
242552	0.083	106.25	3.96E-16	-9.88E-06
242553	0.166	108.24	4.00E-16	-1.02E-05
242554	0.25	107.586	4.04E-16	-1.75E-05
242555	0.083	107.586	3.96E-16	-7.39E-06
242556	0.166	109.535	4.00E-16	-7.55E-06
242557	0.25	108.894	4.04E-16	-1.48E-05
242558	0.083	108.894	3.96E-16	-4.78E-06
242559	0.166	110.805	4.00E-16	-4.71E-06
242560	0.25	110.177	4.04E-16	-1.21E-05
242561	0.083	110.177	3.96E-16	-2.05E-06
242562	0.166	112.049	4.00E-16	-1.76E-06
242563	0.25	111.433	4.04E-16	-9.12E-06
242564	0.083	111.433	3.96E-16	8.48E-07
242565	0.166	113.267	4.00E-16	1.17E-06
242566	0.25	112.664	4.04E-16	-6.17E-06
242567	0.083	112.664	3.96E-16	3.76E-06
242568	0.166	114.462	4.00E-16	4.24E-06
242569	0.25	113.871	4.04E-16	-3.15E-06
242570	0.083	113.871	3.96E-16	6.74E-06
242571	0.166	115.632	4.00E-16	7.34E-06
242572	0.25	115.053	4.04E-16	-3.36E-08
242573	0.083	115.053	3.96E-16	9.82E-06
242574	0.166	116.778	4.00E-16	1.04E-05
242575	0.25	116.211	4.04E-16	3.05E-06
242576	0.083	116.211	3.96E-16	1.29E-05
242577	0.166	117.902	4.00E-16	1.34E-05
242578	0.25	117.346	4.04E-16	6.12E-06
242579	0.083	117.346	3.96E-16	1.59E-05
242580	0.166	119.003	4.00E-16	1.65E-05
242581	0.25	118.458	4.04E-16	9.22E-06
242582	0.083	118.458	3.96E-16	1.90E-05
242583	0.166	120.081	4.00E-16	1.94E-05
242584	0.25	119.547	4.04E-16	1.22E-05
242585	0.083	119.547	3.96E-16	2.19E-05
242586	0.166	121.138	4.00E-16	2.23E-05
242587	0.25	120.615	4.04E-16	1.51E-05
242588	0.083	120.615	3.96E-16	2.48E-05
242589	0.166	122.174	4.00E-16	2.51E-05
242590	0.25	121.661	4.04E-16	1.80E-05
242591	0.083	121.661	3.96E-16	2.76E-05
242592	0.166	123.189	4.00E-16	2.77E-05
242593	0.25	122.686	4.04E-16	2.07E-05
242594	0.083	122.686	3.96E-16	3.03E-05
242595	0.166	124.183	4.00E-16	3.00E-05
242596	0.25	123.691	4.04E-16	2.32E-05
242597	0.083	123.691	3.96E-16	3.28E-05
242598	0.166	125.157	4.00E-16	3.22E-05
242599	0.25	124.675	4.04E-16	2.55E-05
242600	0.083	124.675	3.96E-16	3.50E-05
242601	0.166	126.112	4.00E-16	3.42E-05
242602	0.25	125.639	4.04E-16	2.76E-05
242603	0.083	125.639	3.96E-16	3.71E-05
242604	0.166	127.047	4.00E-16	3.58E-05
242605	0.25	126.584	4.04E-16	2.94E-05
242606	0.083	126.584	3.96E-16	3.88E-05
242607	0.166	127.964	4.00E-16	3.70E-05
242608	0.25	127.51	4.04E-16	3.08E-05
242609	0.083	127.51	3.96E-16	4.02E-05
242610	0.166	128.862	4.00E-16	3.79E-05
242611	0.25	128.417	4.04E-16	3.19E-05
242612	0.083	128.417	3.96E-16	4.13E-05
242613	0.166	129.742	4.00E-16	3.85E-05
242614	0.25	129.306	4.04E-16	3.27E-05
242615	0.083	129.306	3.96E-16	4.20E-05
242616	0.166	130.604	4.00E-16	3.85E-05
242617	0.25	130.177	4.04E-16	3.30E-05
242618	0.083	130.177	3.96E-16	4.23E-05
242619	0.166	131.449	4.00E-16	3.81E-05
242620	0.25	131.031	4.04E-16	3.29E-05
242621	0.083	131.031	3.96E-16	4.21E-05
242622	0.166	132.277	4.00E-16	3.72E-05
242623	0.25	131.867	4.04E-16	3.22E-05
242624	0.083	131.867	3.96E-16	4.14E-05
242625	0.166	133.088	4.00E-16	3.58E-05
242626	0.25	132.687	4.04E-16	3.11E-05
242627	0.083	132.687	3.96E-16	4.03E-05
242628	0.166	133.883	4.00E-16	3.37E-05
242629	0.25	133.49	4.04E-16	2.93E-05
242630	0.083	133.49	3.96E-16	3.85E-05
242631	0.166	134.662	4.00E-16	3.10E-05
242632	0.25	134.277	4.04E-16	2.70E-05
242633	0.083	134.277	3.96E-16	3.61E-05
242634	0.166	135.425	4.00E-16	2.77E-05
242635	0.25	135.047	4.04E-16	2.39E-05
242636	0.083	135.047	3.96E-16	3.31E-05
242637	0.166	136.173	4.00E-16	2.37E-05
242638	0.25	135.803	4.04E-16	2.03E-05
242639	0.083	135.803	3.96E-16	2.94E-05
242640	0.166	136.906	4.00E-16	1.89E-05
242641	0.25	136.543	4.04E-16	1.59E-05
242642	0.083	136.543	3.96E-16	2.51E-05
242643	0.166	137.624	4.00E-16	1.33E-05
242644	0.25	137.268	4.04E-16	1.08E-05
242645	0.083	137.268	3.96E-16	1.99E-05
242646	0.166	138.327	4.00E-16	6.85E-06
242647	0.25	137.979	4.04E-16	4.76E-06
242648	0.083	137.979	3.96E-16	1.39E-05
242649	0.166	139.016	4.00E-16	-4.75E-07
242650	0.25	138.675	4.04E-16	-2.13E-06
242651	0.083	138.675	3.96E-16	6.95E-06
242652	0.166	139.692	4.00E-16	-8.73E-06
242653	0.25	139.358	4.04E-16	-9.91E-06
242654	0.083	139.358	3.96E-16	-8.36E-07
242655	0.166	140.354	4.00E-16	-1.80E-05
242656	0.25	140.026	4.04E-16	-1.87E-05
242657	0.083	140.026	3.96E-16	-9.59E-06
242658	0.166	141.002	4.00E-16	-2.84E-05
242659	0.25	140.681	4.04E-16	-2.85E-05
242660	0.083	140.681	3.96E-16	-1.94E-05
242661	0.166	141.638	4.00E-16	-4.00E-05
242662	0.25	141.323	4.04E-16	-3.95E-05
242663	0.083	141.323	3.96E-16	-3.04E-05
242664	0.166	142.26	4.00E-16	-5.28E-05
242665	0.25	141.952	4.04E-16	-5.17E-05
242666	0.083	141.952	3.96E-16	-4.27E-05
242667	0.166	142.87	4.00E-16	-6.70E-05
242668	0.25	142.568	4.04E-16	-6.51E-05
242669	0.083	142.568	3.96E-16	-5.61E-05
242670	0.166	143.468	4.00E-16	-8.26E-05
242671	0.25	143.172	4.04E-16	-8.00E-05
242672	0.083	143.172	3.96E-16	-7.10E-05
242673	0.166	144.054	4.00E-16	-9.98E-05
242674	0.25	143.764	4.04E-16	-9.63E-05
242675	0.083	143.764	3.96E-16	-8.74E-05
242676	0.166	144.628	4.00E-16	-1.19E-04
242677	0.25	144.344	4.04E-16	-1.14E-04
242678	0.083	144.344	3.96E-16	-1.05E-04
242679	0.166	145.19	4.00E-16	-1.40E-04
242680	0.25	144.912	4.04E-16	-1.34E-04
242681	0.083	144.912	3.96E-16	-1.25E-04
242682	0.166	145.741	4.00E-16	-1.63E-04
242683	0.25	145.469	4.04E-16	-1.56E-04
242684	0.083	145.469	3.96E-16	-1.47E-04
242685	0.166	146.281	4.00E-16	-1.88E-04
242686	0.25	146.014	4.04E-16	-1.80E-04
242687	0.083	146.014	3.96E-16	-1.72E-04
242688	0.166	146.81	4.00E-16	-2.16E-04
242689	0.25	146.548	4.04E-16	-2.07E-04
242690	0.083	146.548	3.96E-16	-1.98E-04
242691	0.166	147.329	4.00E-16	-2.48E-04
242692	0.25	147.072	4.04E-16	-2.37E-04
242693	0.083	147.072	3.96E-16	-2.28E-04
242694	0.166	147.837	4.00E-16	-2.83E-04
242695	0.25	147.585	4.04E-16	-2.70E-04
242696	0.083	147.585	3.96E-16	-2.61E-04
242697	0.166	148.334	4.00E-16	-3.23E-04
242698	0.25	148.088	4.04E-16	-3.07E-04
242699	0.083	148.088	3.96E-16	-2.99E-04
242700	0.166	148.822	4.00E-16	-3.69E-04
242701	0.25	148.581	4.04E-16	-3.50E-04
242702	0.083	148.581	3.96E-16	-3.42E-04
242703	0.166	149.3	4.00E-16	-4.24E-04
242704	0.25	149.064	4.04E-16	-4.00E-04
242705	0.083	149.064	3.96E-16	-3.92E-04
242706	0.25	149.537	4.04E-16	-4.61E-04
242707	0.166	149.768	4.00E-16	-4.94E-04
242708	0.083	149.537	3.96E-16	-4.53E-04
242709	0.333	5.179	4.08E-16	-2.19E-05
242710	0.416	3.476	4.12E-16	-3.22E-05
242711	0.333	8.551	4.08E-16	-2.23E-05
242712	0.416	6.882	4.12E-16	-3.25E-05
242713	0.333	11.855	4.08E-16	-2.27E-05
242714	0.416	10.22	4.12E-16	-3.29E-05
242715	0.333	15.092	4.08E-16	-2.33E-05
242716	0.416	13.49	4.12E-16	-3.34E-05
242717	0.333	18.264	4.08E-16	-2.41E-05
242718	0.416	16.695	4.12E-16	-3.41E-05
242719	0.333	21.373	4.08E-16	-2.50E-05
242720	0.416	19.834	4.12E-16	-3.49E-05
242721	0.333	24.418	4.08E-16	-2.59E-05
242722	0.416	22.911	4.12E-16	-3.58E-05
242723	0.333	27.402	4.08E-16	-2.69E-05
242724	0.416	25.926	4.12E-16	-3.68E-05
242725	0.333	30.327	4.08E-16	-2.79E-05
242726	0.416	28.879	4.12E-16	-3.78E-05
242727	0.333	33.192	4.08E-16	-2.91E-05
242728	0.416	31.774	4.12E-16	-3.89E-05
242729	0.333	35.999	4.08E-16	-3.03E-05
242730	0.416	34.61	4.12E-16	-4.00E-05
242731	0.333	38.75	4.08E-16	-3.16E-05
242732	0.416	37.389	4.12E-16	-4.13E-05
242733	0.333	41.446	4.08E-16	-3.28E-05
242734	0.416	40.112	4.12E-16	-4.25E-05
242735	0.333	44.087	4.08E-16	-3.40E-05
242736	0.416	42.78	4.12E-16	-4.37E-05
242737	0.333	46.675	4.08E-16	-3.52E-05
242738	0.416	45.394	4.12E-16	-4.49E-05
242739	0.333	49.211	4.08E-16	-3.65E-05
242740	0.416	47.956	4.12E-16	-4.62E-05
242741	0.333	51.695	4.08E-16	-3.76E-05
242742	0.416	50.466	4.12E-16	-4.73E-05
242743	0.333	54.13	4.08E-16	-3.88E-05
242744	0.416	52.925	4.12E-16	-4.85E-05
242745	0.333	56.516	4.08E-16	-4.00E-05
242746	0.416	55.335	4.12E-16	-4.97E-05
242747	0.333	58.853	4.08E-16	-4.11E-05
242748	0.416	57.696	4.12E-16	-5.08E-05
242749	0.333	61.144	4.08E-16	-4.21E-05
242750	0.416	60.01	4.12E-16	-5.18E-05
242751	0.333	63.388	4.08E-16	-4.32E-05
242752	0.416	62.277	4.12E-16	-5.28E-05
242753	0.333	65.587	4.08E-16	-4.40E-05
242754	0.416	64.499	4.12E-16	-5.38E-05
242755	0.333	67.742	4.08E-16	-4.49E-05
242756	0.416	66.676	4.12E-16	-5.46E-05
242757	0.333	69.853	4.08E-16	-4.57E-05
242758	0.416	68.808	4.12E-16	-5.54E-05
242759	0.333	71.922	4.08E-16	-4.62E-05
242760	0.416	70.898	4.12E-16	-5.61E-05
242761	0.333	73.949	4.08E-16	-4.68E-05
242762	0.416	72.946	4.12E-16	-5.66E-05
242763	0.333	75.936	4.08E-16	-4.71E-05
242764	0.416	74.953	4.12E-16	-5.71E-05
242765	0.333	77.882	4.08E-16	-4.74E-05
242766	0.416	76.919	4.12E-16	-5.74E-05
242767	0.333	79.789	4.08E-16	-4.75E-05
242768	0.416	78.845	4.12E-16	-5.75E-05
242769	0.333	81.658	4.08E-16	-4.76E-05
242770	0.416	80.733	4.12E-16	-5.76E-05
242771	0.333	83.489	4.08E-16	-4.74E-05
242772	0.416	82.583	4.12E-16	-5.75E-05
